;Species;order;FemaleMeanMass;MaleMeanMass;CMR;ICM;lifeexp;Sample;Deaths;Neoplasia;knownDeaths;Animal;Vertebrate;Invertebrate;Fish;Herptile;Bird;Mammal;Adult_life_expectancy;body mass
141;Phacochoerus_africanus;Artiodactyla;81.53169068;101.7286292;0.177777778;0.235781916;3034.367614;362;166;8;45;0;0;0;0;0;0;0;3034.37;91.63
142;Phoca_vitulina;Carnivora;62.24750546;84.74987744;0;0;6787.473337;319;86;0;20;NA;NA;NA;NA;NA;NA;NA;6787.47;73.5
143;Pithecia_pithecia;Primates;1.78302151;2.144450412;0;0;5126.236173;538;176;0;38;0;0;0;0;0;0;0;5126.24;1.96
144;Pongo_pygmaeus;Primates;59.42847059;99.35443519;0.090909091;0.071886486;10468.77246;332;57;2;22;1;0;1;0;0;0;0;10468.77;79.39
145;Potamochoerus_porcus;Artiodactyla;69.11526457;78.98128234;0.018518519;0.019938425;3194.940799;534;212;1;54;0;0;0;0;0;0;0;3194.94;74.05
146;Prionailurus_bengalensis;Carnivora;3.894165579;4.882440111;0.037037037;0.014001497;3218.013145;241;122;1;27;1;1;0;1;1;1;1;3218.01;4.39
147;Prionailurus_viverrinus;Carnivora;8.642424815;11.7253207;0.05;0.108167052;3726.893988;249;106;1;20;1;1;1;1;1;1;1;3726.89;10.18
148;Procavia_capensis;Hyracoidea;3.227008088;3.454408756;0.064935065;0.052966797;1839.649409;708;396;5;77;0;0;0;0;0;0;0;1839.65;3.34
149;Procyon_lotor;Carnivora;5.911657685;7.457036169;0.2;0.155881636;3894.24559;554;217;11;55;1;1;1;1;1;1;1;3894.25;6.68
150;Pseudois_nayaur;Artiodactyla;38.786;51.90495327;0;0;3074.352664;304;118;0;34;0;0;0;0;0;0;0;3074.35;45.35
151;Pteropus_giganteus;Chiroptera;0.590275698;0.717157481;0.037037037;0.146595004;3722.02838;188;100;1;27;0;0;0;0;0;0;0;3722.03;0.65
152;Pteropus_lylei;Chiroptera;0.424126984;0.488;0;NA;4444.701267;323;111;0;23;0;0;0;0;0;0;0;4444.7;0.46
153;Pteropus_rodricensis;Chiroptera;0.349128017;0.358241209;0.010309278;0.007806218;3647.125918;1223;504;1;97;0;0;0;0;0;0;0;3647.13;0.35
154;Pteropus_vampyrus;Chiroptera;1.105810538;1.20055941;0.166666667;0.060609984;5213.506491;299;91;4;24;0;0;0;0;0;0;0;5213.51;1.15
155;Pudu_puda;Artiodactyla;8.691580237;9.340851899;0;0;2000.248221;279;181;0;46;0;0;0;0;0;0;0;2000.25;9.02
156;Puma_concolor;Carnivora;43.38036198;58.50402924;0.117647059;0.119066468;4386.4126;225;104;4;34;1;1;0;0;0;0;1;4386.41;50.94
157;Pygathrix_nemaeus;Primates;10.8832393;13.10617928;0;NA;4313.656592;104;34;0;21;0;0;0;0;0;0;0;4313.66;11.99
158;Rangifer_tarandus;Artiodactyla;86.76773446;128.0794125;0.034482759;0.045753879;2735.582967;1023;530;3;87;0;0;0;0;0;0;0;2735.58;107.42
159;Rousettus_aegyptiacus;Chiroptera;0.123106734;0.147396878;0.125;0.067188762;3516.459298;515;245;3;24;0;0;0;0;0;0;0;3516.46;0.14
160;Rousettus_leschenaultii;Chiroptera;0.080380899;0.101806923;0;0;2073.837976;116;72;0;24;0;0;0;0;0;0;0;2073.84;0.09
161;Rucervus_duvaucelii;Artiodactyla;102.770069;173.1375;0;0;3042.569592;361;183;0;59;0;0;0;0;0;0;0;3042.57;137.95
162;Rucervus_eldii;Artiodactyla;75.62337271;97.37533093;0.011111111;0.007757076;3135.03531;707;347;1;90;0;0;0;0;0;0;0;3135.04;86.5
163;Rusa_alfredi;Artiodactyla;35.42111111;45.35142857;0.028571429;0.015698611;2446.061542;178;107;1;35;0;0;0;0;0;0;0;2446.06;40.39
164;Saguinus_bicolor;Primates;0.535975001;0.498657136;0;0;3546.76233;268;111;0;41;1;1;1;0;1;0;0;3546.76;0.52
165;Saguinus_imperator;Primates;0.570820059;0.587434059;0.010309278;0.003239685;2758.021524;855;421;1;97;1;0;1;0;0;0;0;2758.02;0.58
166;Saguinus_labiatus;Primates;0.613528906;0.557079787;0;0;2551.525068;210;122;0;32;1;1;1;0;1;0;0;2551.53;0.59
167;Saguinus_midas;Primates;0.539974227;0.52589333;0;0;3145.25082;387;189;0;25;1;1;1;0;1;0;0;3145.25;0.53
168;Saguinus_oedipus;Primates;0.583068019;0.550565909;0.092105263;0.174631407;3538.223081;1451;683;14;152;1;1;1;0;1;0;0;3538.22;0.57
169;Saimiri_boliviensis;Primates;0.777603835;1.093093782;0.007142857;0.003708633;4289.564241;1214;436;1;140;1;0;1;0;0;0;0;4289.56;0.94
170;Saimiri_sciureus;Primates;0.761402701;1.083672224;0.031578947;NA;3961.628989;1072;413;3;95;1;1;1;0;0;0;0;3961.63;0.92
