common_name;species;malignancy_prevalence;malignancy_prevalence2;malignancy_prevalence.reference;group_living;group_living_reference;breeding_system;adult_mass_kg;log_adult_mass_kg;log_adult_mass_kg_category;metabolic_rate_W;log_metabolic_rate_W;log_metabolic_rate_W_category;metabolic_rate_reference;max_lifespan_d;log_max_lifespan_d;log_max_lifespan_d_category;litter_size;litters;mammal;animal;vertebrate
Parma wallaby;Macropus_parma;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;;;;4.203;1.436;>1;NA;NA;;;5803.5;8.666;<9;0.95;monotocous;0;0;0
Short-eared elephant shrew;Macroscelides_proboscideus;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0.04;-3.231;<1;0.292;-1.231;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;3175.5;8.063;<9;1.6;polytocous;0;1;0
California leaf nosed bat;Macrotus_californicus;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;;;;0.012;-4.423;<1;0.082;-2.501;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;6.375.333;8.76;<9;1;monotocous;0;1;0
Silvery marmoset;Mico_argentatus;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;;;;0.357;-1.029;<1;NA;NA;;;6132;8.721;<9;1.87;polytocous;0;0;0
Common field vole;Microtus_arvalis;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0.025;-3.673;<1;0.343;-1.07;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;1752;7.469;<9;5.1;polytocous;0;0;0
Common dormouse;Muscardinus_avellanarius;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0.027;-3.6;<1;0.351;-1.047;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;2190;7.692;<9;4.3;polytocous;0;1;0
Killer whale;Orcinus_orca;Low;0;https://doi.org/10.21203%2Frs.3.rs-3117313%2Fv1 / https://doi.org/10.1093/icb/icm062 / https://doi.org/10.1289/ehp.02110285 ;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;4300;8.366;>1;2274.9;7.73;>1;https://doi.org/10.1111/mms.12091;36500;10.505;>9;1;monotocous;NA;NA;NA
Bighorn sheep;Ovis_canadensis;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;yes;https://doi.org/10.1016/S0003-3472(05)80607-4;Plural;69.125;4.236;>1;114.674;4.742;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;8760;9.078;>9;1.03;monotocous;0;0;0
Atlantic harbor seal;Phoca_vitulina;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;94.283;4.546;>1;73.29;4.294;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;17374;9.763;>9;1;monotocous;NA;NA;NA
Common porpoise;Phocoena_phocoena;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;;;Plural;52.731;3.965;>1;107.675;4.679;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;7446;8.915;<9;1;monotocous;NA;NA;NA
Pale spear nosed bat;Phyllostomus_discolor;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0.04;-3.218;<1;0.267;-1.321;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;3285;8.097;<9;1;monotocous;0;1;0
White-faced saki monkey;Pithecia_pithecia;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1 ;yes;https://doi.org/10.1002/ajp.22360;Singular;1.48;0.392;<1;NA;NA;;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;13.206.917;9.488;>9;1;monotocous;0;0;0
Rodrigues fruit bat;Pteropus_rodricensis;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1 ;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0.303;-1.194;<1;0.753;-0.284;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;10950;9.301;>9;1;monotocous;0;0;0
Black-capped squirrel monkey;Saimiri_boliviensis;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1 ;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0.8;-0.223;<1;NA;NA;;;11059.5;9.311;>9;1;monotocous;0;1;0
Gray squirrel;Sciurus_carolinensis;Low;0;https://doi.org/10.1038%2Fs41568-018-0004-9;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0.54;-0.616;<1;2.062;0.724;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;8760;9.078;>9;3;polytocous;0;0;0
Blind mole rat;Spalax_ehrenbergi;Low;0;https://doi.org/10.1038%2Fs41568-018-0004-9;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0.162;-1.819;<1;0.585;-0.536;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x ;5.645.333;8.639;<9;3.24;polytocous;0;0;0
Kudu;Tragelaphus_strepsiceros;Low;0;https://doi.org/10.21203/rs.3.rs-3117313/v1;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;206.056;5.328;>1;NA;NA;;;8577.5;9.057;>9;1;monotocous;0;0;0
